# packsetd write trace (PACKSET_TRACE_WRITES), mean milliseconds per stage by live count, terra job 15892
live  n     total  prepare snapshot    dedup  replace    links   upsert  project      cap
    0 1000      8.3      6.0      0.0      0.3      0.5      0.0      1.5      0.0      0.0
 1000 1000      9.8      5.7      0.0      0.9      1.5      0.0      1.7      0.0      0.0
 2000 1000     12.9      5.9      0.0      1.8      2.9      0.0      2.4      0.0      0.0
 3000 1000     14.4      5.8      0.0      2.4      3.9      0.0      2.3      0.0      0.0
 4000 1000     17.2      5.8      0.0      3.3      5.4      0.0      2.6      0.0      0.0
 5000 1000     20.8      5.9      0.0      4.1      6.7      0.0      4.0      0.0      0.0
 6000 1000     23.3      6.1      0.0      5.3      8.3      0.0      3.6      0.0      0.0
 7000 1000     54.5      7.5      0.0     13.6     15.6      0.0     17.8      0.0      0.0
 8000 1000     60.6      7.8      0.0     16.9     19.1      0.0     16.7      0.0      0.0
 9000 1000     73.8      7.8      0.0     19.3     21.6      0.0     25.1      0.0      0.0
